job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
Engineer,Engineering,Intern/<1,Selangor,1200.0
Engineer,Engineering,1-3,Kedah,5000.0
IT Support / Service Desk,Information And Communication Technology,1-3,Selangor,3750.0
General - Accounting,Accounting,1-3,Selangor,6000.0
General - Accounting,Accounting,1-3,Kuala Lumpur,6000.0
Trainer / Training Coordinator,Human Resources And Recruitment,1-3,Johor,2500.0
Technician,Engineering,1-3,Johor,5000.0
IT Support / Service Desk,Information And Communication Technology,1-3,Kedah,2750.0
Engineer,Engineering,1-3,Selangor,3250.0
Engineer,Engineering,4-5,Penang,5875.0
Direct Sales / Advisors / Consultants,Sales,4-5,Selangor,9000.0
Admin / Support,Engineering,1-3,Perak,7500.0
General - Accounting,Accounting,1-3,Negeri Sembilan,3333.5
IT Support / Service Desk,Information And Communication Technology,1-3,Kuala Lumpur,4500.0
Administrative / Assistance,Sales,1-3,Selangor,1900.0
General - Accounting,Accounting,Intern/<1,Selangor,3150.0
General - Accounting,Accounting,1-3,Selangor,2300.0
Audit / Internal Audit,Accounting,Intern/<1,Johor,3650.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3150.0
Direct Sales / Advisors / Consultants,Sales,Intern/<1,Kuala Lumpur,3500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,1000.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,3200.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,12240.0
Admin / Support,Accounting,1-3,Sabah,1850.0
General - IT,Information And Communication Technology,4-5,Selangor,5750.0
Engineer,Engineering,4-5,Johor,4750.0
HR Executive,Human Resources And Recruitment,10+,Selangor,15000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,2800.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3900.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3750.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,3750.0
Engineer,Engineering,1-3,Selangor,5000.0
General - Engineering,Engineering,Intern/<1,Selangor,2650.0
Technician,Engineering,4-5,Kedah,3250.0
Operations / Service Coordinator,Administration And Office Support,Intern/<1,Johor,2250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Penang,2600.0
General - Administration,Administration And Office Support,1-3,Selangor,3100.0
Internship - Administration,Administration And Office Support,1-3,Selangor,900.0
General - Accounting,Accounting,1-3,Penang,3000.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3450.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,4200.0
General - Engineering,Engineering,1-3,Selangor,3750.0
Erp / Sap / Enterprise Systems Specialist,Information And Communication Technology,Intern/<1,Kuala Lumpur,3250.0
Accountant / Full Set Accounting,Accounting,4-5,Kuala Lumpur,8750.0
General - Accounting,Accounting,1-3,Sarawak,2150.0
Customer Service / Customer Support,Administration And Office Support,10+,Johor,3300.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,5000.0
Admin / Support,Accounting,Intern/<1,Kuala Lumpur,3500.0
General - IT,Information And Communication Technology,1-3,Selangor,2900.0
Admin / Support,Accounting,Intern/<1,Penang,2875.0
Admin / Support,Accounting,1-3,Selangor,2500.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Johor,2250.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2000.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,10000.0
Admin / Support,Accounting,1-3,Kuala Lumpur,3250.0
General - Accounting,Accounting,1-3,Johor,3500.0
Executive - Ceo And General Management,Ceo And General Management,1-3,Kuala Lumpur,11000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2250.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,4000.0
General - Accounting,Accounting,1-3,Kuala Lumpur,12240.0
General - Accounting,Accounting,1-3,Selangor,3400.0
General - Accounting,Accounting,4-5,Sabah,4250.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2150.0
General - Administration,Administration And Office Support,Intern/<1,Johor,2750.0
General - Accounting,Accounting,Intern/<1,Selangor,4375.0
Admin / Support,Engineering,1-3,Selangor,5000.0
General - Accounting,Accounting,Intern/<1,Melaka,2880.0
General - Accounting,Accounting,4-5,Kuala Lumpur,3750.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3250.0
General - Accounting,Accounting,1-3,Selangor,4100.0
General - Sales,Sales,Intern/<1,Selangor,5000.0
Engineer,Engineering,Intern/<1,Selangor,3900.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Sabah,2500.0
General - Engineering,Engineering,1-3,Sarawak,4500.0
Technician,Engineering,1-3,Kuala Lumpur,3000.0
Data Entry / Document Control,Administration And Office Support,Intern/<1,Kuala Lumpur,3750.0
Engineer,Engineering,4-5,Kuala Lumpur,6500.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,800.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,7250.0
Sales / Business Development,Banking And Financial Services,1-3,Kuala Lumpur,2800.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",4-5,Selangor,3150.0
Financial Controller,Accounting,1-3,Selangor,3250.0
General - Engineering,Engineering,Intern/<1,Johor,3000.0
General - Accounting,Accounting,1-3,Selangor,3900.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,3850.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3250.0
Admin / Support,Engineering,1-3,Kuala Lumpur,2500.0
Engineer,Engineering,4-5,Selangor,3000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Negeri Sembilan,1750.0
General - Accounting,Accounting,1-3,Selangor,3350.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,4050.0
Admin / Support,Accounting,Intern/<1,Sarawak,3400.0
Sales / Business Development,Banking And Financial Services,Intern/<1,Kuala Lumpur,3750.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,900.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2700.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Kuala Lumpur,3150.0
Engineer,Engineering,Intern/<1,Selangor,3500.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,6250.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Selangor,3000.0
General - IT,Information And Communication Technology,Intern/<1,Perak,3950.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,8500.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,7500.0
General - IT,Information And Communication Technology,1-3,Selangor,4250.0
General - Accounting,Accounting,1-3,Johor,3000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3250.0
Management / Leadership,Sales,1-3,Selangor,6750.0
