job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
Direct Sales / Advisors / Consultants,Sales,1-3,Kuala Lumpur,3750.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,4150.0
Performance Marketing,Marketing And Communications,1-3,Selangor,7000.0
IT Manager,Information And Communication Technology,1-3,Selangor,5650.0
General - Design & Architecture,Design And Architecture,4-5,Selangor,5600.0
Administration & Support,Real Estate And Property,1-3,Kuala Lumpur,4000.0
Internship - Accounting,Accounting,1-3,Johor,700.0
Internship - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,600.0
Performance Marketing,Marketing And Communications,1-3,Kuala Lumpur,5000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kedah,2000.0
Administrative / Assistance,Sales,1-3,Kuala Lumpur,2250.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Kuala Lumpur,6750.0
General - Design & Architecture,Design And Architecture,4-5,Kuala Lumpur,6250.0
Retail Management & Leadership,Retail And Consumer Products,10+,Selangor,9000.0
Marketing Operations & Support,Marketing And Communications,1-3,Selangor,4400.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Selangor,3125.0
Architect,Design And Architecture,Intern/<1,Selangor,2775.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Perak,1800.0
Marketing & Brand / Content,Retail And Consumer Products,1-3,Selangor,3000.0
Physician / Doctor,Healthcare And Medical,1-3,Kuala Lumpur,15000.0
Performance Marketing,Marketing And Communications,1-3,Kuala Lumpur,6750.0
Management / Project Management - Construction,Construction,4-5,Johor,3850.0
Retail Management & Leadership,Retail And Consumer Products,1-3,Sarawak,3125.0
IT Manager,Information And Communication Technology,6-10,Kuala Lumpur,7800.0
Machine & Tooling,"Manufacturing, Transport And Logistics",1-3,Penang,3000.0
Technician,Engineering,1-3,Others,8000.0
Customer Service Representative / Agent,Call Centre And Customer Service,1-3,Selangor,3150.0
Content & Copywriting,Marketing And Communications,1-3,Johor,3250.0
Technician,Engineering,4-5,Kuala Lumpur,3500.0
General - Administration,Administration And Office Support,1-3,Penang,3200.0
Technician,Engineering,1-3,Kuala Lumpur,4250.0
Internship - Marketing & Comms,Marketing And Communications,1-3,Selangor,1500.0
Retail Management & Leadership,Retail And Consumer Products,1-3,Kuala Lumpur,6000.0
General - Marketing & Comms,Marketing And Communications,1-3,Kuala Lumpur,8000.0
General - Customer Service,Call Centre And Customer Service,1-3,Kuala Lumpur,4500.0
Administrator / Office Executive,Administration And Office Support,1-3,Selangor,3000.0
Administration & Support,Real Estate And Property,1-3,Johor,2750.0
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Melaka,3750.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,6250.0
Marketing Operations & Support,Marketing And Communications,1-3,Sarawak,1750.0
General - Education,Education And Training,1-3,Kuala Lumpur,1850.0
Marketing Operations & Support,Marketing And Communications,4-5,Negeri Sembilan,5500.0
Technician,Engineering,Intern/<1,Selangor,2050.0
Architect,Design And Architecture,1-3,Kuala Lumpur,5000.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Penang,3150.0
Admin / Office Support,Hospitality And Tourism,1-3,Kuala Lumpur,5250.0
Admin / Support,Accounting,1-3,Selangor,3850.0
Administrative / Assistance,Sales,4-5,Selangor,5750.0
Quality Assurance & Quality Control,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,3000.0
Marketing Operations & Support,Marketing And Communications,1-3,Kuala Lumpur,1150.0
Management / Project Management - Construction,Construction,1-3,Kedah,2750.0
Business Development / Corporate Sales,Sales,1-3,Kuala Lumpur,4400.0
General - Customer Service,Call Centre And Customer Service,1-3,Kuala Lumpur,2450.0
General - Science & Technology,Science And Technology,Intern/<1,Johor,1900.0
Management / Project Management - Construction,Construction,1-3,Kedah,3250.0
Therapist / Physiotherapist,Healthcare And Medical,1-3,Kuala Lumpur,6750.0
Admin / Support,Accounting,Intern/<1,Penang,4000.0
Manufacturing Management,"Manufacturing, Transport And Logistics",10+,Johor,17500.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,2500.0
Admin / Support,Engineering,6-10,Kedah,3475.0
Internship - Accounting,Accounting,1-3,Kuala Lumpur,1125.0
Admin / Support,Accounting,1-3,Johor,2280.0
Marketing Operations & Support,Marketing And Communications,1-3,Perak,2800.0
General - Design & Architecture,Design And Architecture,1-3,Selangor,6250.0
Engineer,Engineering,Intern/<1,Negeri Sembilan,3100.0
Legal Counsel / Lawyer,Legal,1-3,Johor,5000.0
Engineer,Engineering,Intern/<1,Johor,1750.0
Admin / Support,Accounting,Intern/<1,Sarawak,1650.0
Admin / Assistant / Support,Banking And Financial Services,1-3,Selangor,6250.0
General - Marketing & Comms,Marketing And Communications,1-3,Selangor,4125.0
Management / Project Management - Construction,Construction,1-3,Selangor,4800.0
General - Accounting,Accounting,4-5,Selangor,8450.0
Graphic / Visual Designer,Design And Architecture,1-3,Selangor,4250.0
Engineer,Engineering,1-3,Johor,2750.0
Marketing Operations & Support,Marketing And Communications,1-3,Kuala Lumpur,2450.0
Receptionist / Front Desk,Administration And Office Support,1-3,Selangor,2200.0
General - IT,Information And Communication Technology,4-5,Selangor,35265.833333333336
Education Counsellor / Advisor,Education And Training,Intern/<1,Selangor,3500.0
Product Marketing,Marketing And Communications,Intern/<1,Selangor,4750.0
Admin / Support,Accounting,1-3,Negeri Sembilan,2150.0
General - Accounting,Accounting,1-3,Kedah,3500.0
HR Executive,Human Resources And Recruitment,Intern/<1,Kuala Lumpur,2700.0
Trainer / Training Coordinator,Human Resources And Recruitment,1-3,Selangor,3600.0
Accountant / Full Set Accounting,Accounting,1-3,Johor,4750.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Selangor,3150.0
Content & Copywriting,Marketing And Communications,1-3,Selangor,5000.0
Business Development / Corporate Sales,Sales,10+,Selangor,18855.0
General - Banking & Finance,Banking And Financial Services,4-5,Kuala Lumpur,5000.0
General - Sales,Sales,1-3,Sarawak,2816.5
Manufacturing Management,"Manufacturing, Transport And Logistics",6-10,Kuala Lumpur,13000.0
Content / Copywriting,"Advertising, Arts And Media",4-5,Selangor,3150.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,6000.0
Internship - Engineering,Engineering,1-3,Selangor,995.0
Secretary / Personal Assistant,Administration And Office Support,Intern/<1,Pahang,3250.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Johor,4300.0
Admin / Support,Consulting And Strategy,4-5,Kuala Lumpur,5250.0
Marketing Management & Leadership,Marketing And Communications,4-5,Selangor,3750.0
Admin / Support,Engineering,4-5,Selangor,8500.0
General - Hospitality & Tourism,Hospitality And Tourism,Intern/<1,Kuala Lumpur,2850.0
Retail Management & Leadership,Retail And Consumer Products,1-3,Johor,4300.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",4-5,Perak,7000.0
Internship - Construction,Construction,1-3,Johor,1000.0
Personal / Executive Assistant,Hospitality And Tourism,Intern/<1,Selangor,1760.0
Multimedia / Motion Designer,Design And Architecture,1-3,Selangor,4100.0
Engineering & Technical,"Manufacturing, Transport And Logistics",1-3,Selangor,3400.0
Accountant / Full Set Accounting,Accounting,1-3,Selangor,6750.0
Administrator / Office Executive,Administration And Office Support,1-3,Selangor,2000.0
General - Design & Architecture,Design And Architecture,Intern/<1,Selangor,3750.0
Content / Copywriting,"Advertising, Arts And Media",1-3,Selangor,3150.0
General - Design & Architecture,Design And Architecture,4-5,Selangor,5250.0
Administration & Support,Real Estate And Property,1-3,Sarawak,2500.0
Content / Creative Media,Design And Architecture,1-3,Selangor,700.0
Management / Leadership,Sales,1-3,Selangor,677.0833333333334
Marketing Operations & Support,Marketing And Communications,1-3,Penang,3350.0
Administrative / Assistance,Sales,1-3,Sabah,1750.0
General - Sales,Sales,1-3,Negeri Sembilan,3750.0
Internship - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Penang,1400.0
HR Admin / Support,Human Resources And Recruitment,1-3,Kuala Lumpur,9000.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,5850.0
General - Advertising / Media,"Advertising, Arts And Media",1-3,Selangor,9250.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,5584.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Kuala Lumpur,2250.0
Accountant / Full Set Accounting,Accounting,4-5,Penang,7500.0
Financial Controller,Accounting,6-10,Selangor,12500.0
Admin / Support,Education And Training,10+,Kuala Lumpur,3500.0
Technicians / Skilled Trades,Trades And Services,Intern/<1,Johor,2000.0
Software Developer,Information And Communication Technology,1-3,Selangor,2916.5
General - Healthcare,Healthcare And Medical,6-10,Kuala Lumpur,3750.0
Business Development / Corporate Sales,Sales,Intern/<1,Selangor,6750.0
Software Developer,Information And Communication Technology,1-3,Selangor,8050.0
IT Support / Service Desk,Information And Communication Technology,1-3,Selangor,3400.0
General - Agriculture & Conservation,"Farming, Animals And Conservation",4-5,Negeri Sembilan,10500.0
HR Executive,Human Resources And Recruitment,1-3,Penang,2650.0
Management / Project Management - Construction,Construction,4-5,Selangor,3000.0
General - Sales,Sales,1-3,Sarawak,3550.0
Administration & Support,Real Estate And Property,1-3,Kuala Lumpur,3500.0
Safety / Qa / Compliance,Engineering,6-10,Selangor,5000.0
Beauty & Aesthetics,Trades And Services,1-3,Selangor,4000.0
General - Marketing & Comms,Marketing And Communications,Intern/<1,Selangor,3250.0
Engineer,Engineering,1-3,Penang,5600.0
HR Executive,Human Resources And Recruitment,1-3,Kedah,1800.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Selangor,1100.0
Admin / Support,Accounting,Intern/<1,Johor,2000.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Selangor,4125.0
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Selangor,2950.0
Admin Assistant / Clerk,Administration And Office Support,6-10,Selangor,6250.0
HR Executive,Human Resources And Recruitment,1-3,Sabah,3150.0
Quality Assurance & Quality Control,"Manufacturing, Transport And Logistics",1-3,Sarawak,2750.0
Management / Leadership,Sales,1-3,Penang,3500.0
Urban / Planning Designer,Design And Architecture,6-10,Selangor,6150.0
General - Healthcare,Healthcare And Medical,1-3,Kuala Lumpur,1900.0
Administrative / Assistance,Sales,1-3,Kuala Lumpur,1250.0
Admin Assistant / Clerk,Administration And Office Support,10+,Sarawak,1500.0
Retail Management & Leadership,Retail And Consumer Products,1-3,Kuala Lumpur,8000.0
Tutor / Instructor / Coach,Education And Training,1-3,Selangor,5000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Pahang,3250.0
General - IT,Information And Communication Technology,4-5,Terengganu,5000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kedah,6500.0
Engineer,Engineering,1-3,Selangor,2500.0
General - Accounting,Accounting,Intern/<1,Penang,4200.0
General - Engineering,Engineering,4-5,Johor,12500.0
General - Healthcare,Healthcare And Medical,Intern/<1,Selangor,4200.0
Engineer,Engineering,1-3,Kuala Lumpur,5850.0
Administrative / Assistance,Sales,1-3,Kuala Lumpur,6250.0
Electrical / Mechanical Technician,Engineering,Intern/<1,Selangor,3250.0
Direct Sales / Advisors / Consultants,Sales,1-3,Selangor,2250.0
Marketing Operations & Support,Marketing And Communications,Intern/<1,Others,3000.0
General - Healthcare,Healthcare And Medical,Intern/<1,Kuala Lumpur,3000.0
Architect,Design And Architecture,Intern/<1,Kuala Lumpur,3750.0
Marketing Operations & Support,Marketing And Communications,Intern/<1,Selangor,4375.0
Content / Copywriting,"Advertising, Arts And Media",Intern/<1,Kuala Lumpur,7000.0
General - Sales,Sales,1-3,Selangor,5650.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",4-5,Sabah,3500.0
Maintenance & Facilities,"Manufacturing, Transport And Logistics",1-3,Selangor,2200.0
General - Customer Service,Call Centre And Customer Service,1-3,Selangor,8750.0
Legal Executive,Legal,1-3,Kuala Lumpur,3500.0
Management / Leadership,Sales,1-3,Kuala Lumpur,15625.0
General - HR & Recruitment,Human Resources And Recruitment,1-3,Kuala Lumpur,4250.0
General - Design & Architecture,Design And Architecture,1-3,Selangor,7500.0
Electrical / Mechanical Technician,Engineering,1-3,Selangor,2650.0
Interior Designer,Design And Architecture,1-3,Selangor,4950.0
Customer Service Representative / Agent,Call Centre And Customer Service,1-3,Selangor,3600.0
Engineer,Engineering,1-3,Terengganu,3500.0
General - Accounting,Accounting,4-5,Kuala Lumpur,8350.0
General - IT,Information And Communication Technology,1-3,Selangor,5050.0
Administration & Support,Real Estate And Property,Intern/<1,Selangor,3150.0
Teacher / Educator,Education And Training,1-3,Negeri Sembilan,9000.0
Engineer,Engineering,1-3,Selangor,10000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Sabah,1200.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,8750.0
Administration & Assistance,Retail And Consumer Products,1-3,Selangor,3400.0
Manufacturing Management,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,3250.0
Administration & Support,Real Estate And Property,1-3,Johor,3750.0
General - Accounting,Accounting,Intern/<1,Johor,4500.0
Teacher / Educator,Education And Training,Intern/<1,Selangor,3000.0
Business Development / Corporate Sales,Sales,Intern/<1,Sabah,5300.0
Marketing Operations & Support,Marketing And Communications,6-10,Selangor,8750.0
Admin / Support,Accounting,Intern/<1,Sabah,2250.0
Engineer,Engineering,Intern/<1,Sarawak,3300.0
General - Sales,Sales,4-5,Putrajaya,5500.0
Content & Copywriting,Marketing And Communications,Intern/<1,Johor,3750.0
Admin / Assistant / Support,Banking And Financial Services,Intern/<1,Perak,3750.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,1975.0
Hospitality Manager,Hospitality And Tourism,6-10,Johor,12500.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",4-5,Penang,4500.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",4-5,Selangor,6000.0
Admin / Support,Engineering,1-3,Johor,2200.0
General - Accounting,Accounting,Intern/<1,Johor,2500.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",1-3,Selangor,2700.0
Lecturer / Academic Researcher,Education And Training,1-3,Kuala Lumpur,2025.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Perak,2250.0
Management / Leadership,Sales,1-3,Selangor,5250.0
Chef / Kitchen Professional,Hospitality And Tourism,Intern/<1,Selangor,2150.0
General - Accounting,Accounting,1-3,Melaka,3050.0
Admin / Support,Accounting,Intern/<1,Johor,2150.0
Management / Project Management - Construction,Construction,Intern/<1,Johor,4250.0
General - Design & Architecture,Design And Architecture,4-5,Selangor,3750.0
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Johor,2400.0
General - Banking & Finance,Banking And Financial Services,1-3,Selangor,3300.0
HR Admin / Support,Human Resources And Recruitment,1-3,Selangor,5400.0
General - IT,Information And Communication Technology,1-3,Sarawak,2250.0
Technicians / Skilled Trades,Trades And Services,1-3,Negeri Sembilan,1800.0
Social Media & Influencer Marketing,Marketing And Communications,1-3,Kuala Lumpur,3400.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,2250.0
Data Analyst / Data Scientist,Information And Communication Technology,1-3,Kuala Lumpur,10000.0
Administrator / Office Executive,Administration And Office Support,1-3,Johor,2500.0
General - Engineering,Engineering,6-10,Terengganu,8000.0
HR Executive,Human Resources And Recruitment,1-3,Sabah,1750.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,4600.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,2749.5
General - Healthcare,Healthcare And Medical,Intern/<1,Sabah,3500.0
General - Retail,Retail And Consumer Products,1-3,Kuala Lumpur,6500.0
Legal Administrative Support,Legal,1-3,Kuala Lumpur,5000.0
Manager / Middle Management - Ceo And General Management,Ceo And General Management,1-3,Kuala Lumpur,7250.0
General - Retail,Retail And Consumer Products,1-3,Perak,3300.0
Company Secretarial,Legal,1-3,Kuala Lumpur,3150.0
General - Education,Education And Training,1-3,Kuala Lumpur,2750.0
Accountant / Full Set Accounting,Accounting,1-3,Johor,7250.0
Erp / Sap / Enterprise Systems Specialist,Information And Communication Technology,1-3,Penang,10000.0
General - Accounting,Accounting,1-3,Kedah,10000.0
General - Marketing & Comms,Marketing And Communications,1-3,Sabah,3000.0
Therapist / Physiotherapist,Healthcare And Medical,Intern/<1,Kedah,2750.0
Manufacturing Management,"Manufacturing, Transport And Logistics",1-3,Selangor,8000.0
General - Retail,Retail And Consumer Products,4-5,Kuala Lumpur,7250.0
General - IT,Information And Communication Technology,1-3,Selangor,1750.0
Graphic / Visual Designer,Design And Architecture,Intern/<1,Others,3000.0
General - Retail,Retail And Consumer Products,1-3,Sabah,2500.0
Account / Relationship / Client Management,Sales,Intern/<1,Kuala Lumpur,2750.0
Creative & Multimedia,Marketing And Communications,1-3,Selangor,3125.0
Manufacturing Management,"Manufacturing, Transport And Logistics",1-3,Johor,8000.0
Engineer,Engineering,1-3,Sabah,3500.0
Business Development / Corporate Sales,Sales,1-3,Selangor,9000.0
General - Design & Architecture,Design And Architecture,Intern/<1,Selangor,5250.0
General - Design & Architecture,Design And Architecture,1-3,Johor,1250.0
Direct Sales / Advisors / Consultants,Sales,1-3,Melaka,3000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Penang,3150.0
IT Support / Service Desk,Information And Communication Technology,1-3,Johor,10684.500000000002
Technician,Engineering,4-5,Johor,6000.0
General - Customer Service,Call Centre And Customer Service,1-3,Selangor,4250.0
Technician,Engineering,Intern/<1,Johor,1750.0
Education Operations / Coordination,Education And Training,1-3,Kuala Lumpur,3000.0
Direct Sales / Advisors / Consultants,Sales,Intern/<1,Penang,2925.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Penang,1750.0
Management / Leadership,Sales,1-3,Sabah,5250.0
General - Design & Architecture,Design And Architecture,Intern/<1,Selangor,3100.0
Marketing Operations & Support,Marketing And Communications,4-5,Kuala Lumpur,6680.0
Direct Sales / Advisors / Consultants,Sales,1-3,Selangor,1000.0
Admin / Support,Engineering,4-5,Selangor,7500.0
General - Engineering,Engineering,6-10,Kuala Lumpur,8025.0
Admin / Support,Education And Training,1-3,Kedah,2500.0
Technician,Engineering,1-3,Selangor,2850.0
Admin / Assistant / Support,Banking And Financial Services,Intern/<1,Pahang,3250.0
Manufacturing Management,"Manufacturing, Transport And Logistics",1-3,Penang,8000.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Penang,3600.0
General - Customer Service,Call Centre And Customer Service,Intern/<1,Selangor,1650.0
Business Development / Corporate Sales,Sales,1-3,Johor,9000.0
Event & Experiential Marketing,Marketing And Communications,1-3,Sabah,2500.0
Digital Marketing,Marketing And Communications,1-3,Selangor,3000.0
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Selangor,1850.0
Content & Copywriting,Marketing And Communications,1-3,Selangor,2500.0
General - Sales,Sales,1-3,Kuala Lumpur,9250.0
General - Hospitality & Tourism,Hospitality And Tourism,1-3,Kuala Lumpur,2750.0
Business Development / Corporate Sales,Sales,1-3,Penang,9000.0
Pharmacist / Product Specialist,Healthcare And Medical,Intern/<1,Selangor,6750.0
Marketing Operations & Support,Marketing And Communications,Intern/<1,Penang,2750.0
Procurement & Purchasing,"Manufacturing, Transport And Logistics",Intern/<1,Sabah,2500.0
Sales / Marketing Executive,Hospitality And Tourism,1-3,Johor,1760.0
Marketing Operations & Support,Marketing And Communications,4-5,Penang,5250.0
Veterinarian,"Farming, Animals And Conservation",1-3,Johor,7500.0
Data Entry / Document Control,Administration And Office Support,1-3,Selangor,2300.0
HR / Recruitment Manager,Human Resources And Recruitment,1-3,Selangor,2750.0
General - Sales,Sales,Intern/<1,Negeri Sembilan,4375.0
Engineering & Technical,"Manufacturing, Transport And Logistics",1-3,Penang,4125.0
Management / Leadership,Sales,6-10,Penang,8350.0
General - Sales,Sales,1-3,Kuala Lumpur,3350.0
Software Developer,Information And Communication Technology,1-3,Johor,4250.0
Manufacturing Management,"Manufacturing, Transport And Logistics",Intern/<1,Sabah,3250.0
Technician,Engineering,4-5,Penang,3250.0
Regulatory / Quality / Compliance,Science And Technology,Intern/<1,Selangor,4500.0
Maintenance & Technical,Real Estate And Property,1-3,Selangor,2500.0
Manufacturing Management,"Manufacturing, Transport And Logistics",6-10,Johor,9000.0
General - Sales,Sales,1-3,Penang,2500.0
Nutritionist / Dietitian,Healthcare And Medical,Intern/<1,Kuala Lumpur,3750.0
Administrator / Office Executive,Administration And Office Support,4-5,Selangor,6000.0
General - Trades & Services,Trades And Services,1-3,Sarawak,3125.0
Audit / Internal Audit,Accounting,1-3,Selangor,3750.0
Direct Sales / Advisors / Consultants,Sales,1-3,Sabah,6250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2621.5
Management / Project Management - Construction,Construction,Intern/<1,Johor,2625.0
Business Support / Coordinator,Administration And Office Support,1-3,Selangor,2650.0
HR / Recruitment Executive,Human Resources And Recruitment,Intern/<1,Terengganu,2750.0
General - Hospitality & Tourism,Hospitality And Tourism,Intern/<1,Penang,3450.0
Management / Project Management - Construction,Construction,1-3,Sarawak,2150.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Kuala Lumpur,2200.0
Administrator / Office Executive,Administration And Office Support,1-3,Kuala Lumpur,3250.0
General - Banking & Finance,Banking And Financial Services,1-3,Selangor,5500.0
Administration & Assistance,Retail And Consumer Products,1-3,Selangor,2200.0
Internship - Marketing & Comms,Marketing And Communications,1-3,Selangor,1600.0
Financial Planning & Analysis (fp&a),Accounting,6-10,Penang,6500.0
Internship - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Selangor,800.0
General - Administration,Administration And Office Support,1-3,Sabah,3000.0
Marketing Operations & Support,Marketing And Communications,1-3,Kuala Lumpur,2904.0
Marketing Operations & Support,Marketing And Communications,4-5,Sarawak,2916.5
Admin / Assistant / Coordinator,Call Centre And Customer Service,Intern/<1,Selangor,3750.0
Performance Marketing,Marketing And Communications,1-3,Kuala Lumpur,7128.0
Admin / Support,Education And Training,1-3,Kuala Lumpur,2450.0
General - Accounting,Accounting,Intern/<1,Sabah,3750.0
Receptionist / Front Desk,Administration And Office Support,Intern/<1,Selangor,2150.0
Customer Service Representative / Agent,Call Centre And Customer Service,Intern/<1,Penang,3400.0
General - Consulting & Strategy,Consulting And Strategy,1-3,Kuala Lumpur,8000.0
Hospitality Manager,Hospitality And Tourism,10+,Selangor,12500.0
General - Sales,Sales,1-3,Kuala Lumpur,7751.500000000001
Admin / Support,Accounting,1-3,Selangor,5500.0
Admin / Support,Accounting,1-3,Kuala Lumpur,2100.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,2925.0
Admin / Support,Accounting,Intern/<1,Johor,4500.0
Administrator / Office Executive,Administration And Office Support,1-3,Kuala Lumpur,3000.0
Administrator / Office Executive,Administration And Office Support,1-3,Kuala Lumpur,2700.0
Management / Leadership / Executive,Science And Technology,1-3,Pahang,2950.0
Marketing Operations & Support,Marketing And Communications,1-3,Sarawak,4750.0
General - Administration,Administration And Office Support,1-3,Johor,4100.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Selangor,2550.0
Admin / Assistant / Support,Banking And Financial Services,1-3,Kuala Lumpur,4250.0
Therapist / Physiotherapist,Healthcare And Medical,1-3,Johor,5000.0
General - Healthcare,Healthcare And Medical,1-3,Terengganu,8350.0
Engineering & Technical,"Manufacturing, Transport And Logistics",1-3,Negeri Sembilan,7250.0
Internship - Customer Service,Call Centre And Customer Service,1-3,Penang,775.0
General - Agriculture & Conservation,"Farming, Animals And Conservation",1-3,Selangor,2500.0
Engineer,Engineering,1-3,Selangor,1400.0
Engineer,Engineering,4-5,Kuala Lumpur,4300.0
HR Executive,Human Resources And Recruitment,4-5,Selangor,6500.0
Quality Assurance & Quality Control,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,4250.0
Direct Sales / Advisors / Consultants,Sales,1-3,Negeri Sembilan,2350.0
General - Healthcare,Healthcare And Medical,1-3,Terengganu,2250.0
Marketing Operations & Support,Marketing And Communications,10+,Kuala Lumpur,3400.0
Marketing Operations & Support,Marketing And Communications,1-3,Selangor,3100.0
General - Sales,Sales,Intern/<1,Selangor,3950.0
Business Development / Corporate Sales,Sales,4-5,Kuala Lumpur,6500.0
General - Marketing & Comms,Marketing And Communications,1-3,Johor,3800.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",4-5,Others,4000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,2650.0
Administration & Support,Real Estate And Property,Intern/<1,Selangor,3500.0
Admin / Support,Education And Training,6-10,Selangor,11250.0
Engineer,Engineering,1-3,Kelantan,2600.0
Physician / Doctor,Healthcare And Medical,1-3,Johor,21000.0
Admin / Support,Accounting,1-3,Sabah,3350.0
Customer Experience / Specialist,Call Centre And Customer Service,1-3,Kuala Lumpur,4000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",4-5,Perak,4500.0
General - Accounting,Accounting,1-3,Johor,3275.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,3200.0
Sales / Commercial,Engineering,1-3,Selangor,5000.0
General - Customer Service,Call Centre And Customer Service,Intern/<1,Selangor,2700.0
General - Customer Service,Call Centre And Customer Service,1-3,Johor,2400.0
General - Accounting,Accounting,Intern/<1,Penang,3500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kedah,1750.0
Teacher / Educator,Education And Training,1-3,Perak,3500.0
Drafter / Cad / Bim,Design And Architecture,Intern/<1,Selangor,1650.0
General - Accounting,Accounting,1-3,Melaka,4150.0
Management / Project Management - Construction,Construction,1-3,Sabah,6250.0
Marketing Operations & Support,Marketing And Communications,Intern/<1,Selangor,2150.0
Content & Copywriting,Marketing And Communications,1-3,Johor,5450.0
Engineer,Engineering,4-5,Johor,5250.0
Business Development / Corporate Sales,Sales,1-3,Selangor,6250.0
Event & Experiential Marketing,Marketing And Communications,1-3,Selangor,3850.0
General - Administration,Administration And Office Support,Intern/<1,Selangor,3100.0
Customer Service Representative / Agent,Call Centre And Customer Service,Intern/<1,Kuala Lumpur,3500.0
Engineer,Engineering,1-3,Selangor,5900.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",4-5,Melaka,3750.0
Digital Marketing,Marketing And Communications,1-3,Kuala Lumpur,3500.0
General - Customer Service,Call Centre And Customer Service,1-3,Negeri Sembilan,2333.5
Admin / Support,Accounting,6-10,Selangor,8500.0
Audit / Internal Audit,Accounting,1-3,Johor,5750.0
Administration & Assistance,Retail And Consumer Products,1-3,Sarawak,1750.0
Administrative / Assistance,Sales,6-10,Johor,9000.0
Quality Assurance & Quality Control,"Manufacturing, Transport And Logistics",1-3,Johor,2250.0
Barista / Bartender,Hospitality And Tourism,Intern/<1,Johor,1900.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Selangor,2600.0
HR / Recruitment Executive,Human Resources And Recruitment,4-5,Sabah,6000.0
Engineer,Engineering,6-10,Johor,5625.0
Education Counsellor / Advisor,Education And Training,1-3,Kuala Lumpur,2750.0
Direct Sales / Advisors / Consultants,Sales,1-3,Kuala Lumpur,4600.0
Management / Project Management - Construction,Construction,1-3,Sarawak,4250.0
Financial Controller,Accounting,1-3,Selangor,3500.0
Admin / Support,Engineering,Intern/<1,Sabah,3125.0
Admin / Office Support,Hospitality And Tourism,1-3,Selangor,3250.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,1000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,5237.500000000001
